Size of source tree:13
Size of destination tree:18

 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	
1	9	9	10	10	12	12	11	12	9	12	12	11	12	10	12	12	11	12	
2	9	8	9	9	11	11	10	11	8	11	11	10	11	9	11	11	10	11	
3	10	9	8	8	10	10	9	10	7	10	10	9	10	8	10	10	9	10	
4	15	14	13	2	4	4	3	4	2	4	4	4	4	2	4	4	4	4	
5	17	16	15	4	1	1	1	1	4	1	1	1	1	4	1	1	1	1	
6	17	16	15	4	1	0	1	0	4	1	0	1	0	4	1	0	1	0	
7	16	15	14	3	1	1	0	1	4	1	1	1	1	4	1	1	1	1	
8	17	16	15	4	1	0	1	0	4	1	0	1	0	4	1	0	1	0	
9	14	13	12	3	4	4	4	4	1	4	4	3	4	2	4	4	3	4	
10	16	15	14	4	1	1	1	1	4	1	1	1	1	3	1	1	0	1	
11	17	16	15	4	1	0	1	0	4	1	0	1	0	4	1	0	1	0	
12	16	15	14	4	1	1	1	1	3	1	1	0	1	4	1	1	1	1	
13	17	16	15	4	1	0	1	0	4	1	0	1	0	4	1	0	1	0	
Distance TED:9
