Size of source tree:18
Size of destination tree:13

 	1	2	3	4	5	6	7	8	9	10	11	12	13	
1	9	9	10	15	17	17	16	17	14	16	17	16	17	
2	9	8	9	14	16	16	15	16	13	15	16	15	16	
3	10	9	8	13	15	15	14	15	12	14	15	14	15	
4	10	9	8	2	4	4	3	4	3	4	4	4	4	
5	12	11	10	4	1	1	1	1	4	1	1	1	1	
6	12	11	10	4	1	0	1	0	4	1	0	1	0	
7	11	10	9	3	1	1	0	1	4	1	1	1	1	
8	12	11	10	4	1	0	1	0	4	1	0	1	0	
9	9	8	7	2	4	4	4	4	1	4	4	3	4	
10	12	11	10	4	1	1	1	1	4	1	1	1	1	
11	12	11	10	4	1	0	1	0	4	1	0	1	0	
12	11	10	9	4	1	1	1	1	3	1	1	0	1	
13	12	11	10	4	1	0	1	0	4	1	0	1	0	
14	10	9	8	2	4	4	4	4	2	3	4	4	4	
15	12	11	10	4	1	1	1	1	4	1	1	1	1	
16	12	11	10	4	1	0	1	0	4	1	0	1	0	
17	11	10	9	4	1	1	1	1	3	0	1	1	1	
18	12	11	10	4	1	0	1	0	4	1	0	1	0	
Distance TED:9
