schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors
o1,0,14,60,0,0,0
o10008,0,116,1,0,0,0
o10009,0,0,8,0,0,0
o10010,0,0,4,0,0,0
o10011,0,2,10,0,2,0
o10012,,0,2,,0,0
o10013,2,51,16,0,2,0
o10014,0,45,5,0,0,0
o10016,0,16,2,0,0,0
o10018,1,1,1,0,1,0
o10020,2,2,1,1,1,0
o10021,0,0,2,0,0,0
o10026,3,14,4,1,1,1
o10030,0,17,9,0,0,0
o10055,0,8,1,0,0,0
o10059,0,0,3,0,0,0
o1006,0,264,34,0,0,0
o10065,2,,4,0,,0
o10069,1,19,5,0,1,0
o10075,0,12,15,0,0,0
o10076,1,3,6,0,1,0
o10077,1,15,7,0,0,0
o10078,0,0,32,0,0,3
o10079,0,0,14,0,0,0
o1008,2,,2,0,,0
o10082,0,62,2,0,0,0
o10086,0,0,0,0,0,0
o10088,0,0,16,0,0,0
o10089,0,0,16,0,0,0
o10091,0,144,10,0,0,0
o10092,2,44,2,1,1,0
o10093,,,5,,,0
o10094,4,,6,0,,0
o102,0,,195,0,,0
o10217,0,769,24,0,0,0
o10293,0,,96,0,,4
o10295,0,0,39,0,0,0
o10296,0,,574,0,,18
o10297,14,,141,0,,0
o10298,0,0,83,0,0,0
o10318,0,,24,0,,0
o10335,0,6,2,0,0,0
o10337,1,31,1,0,0,0
o10340,9,,726,0,1,1
o10420,1,12,5696,0,0,52
o10421,0,1,172,0,1,0
o10467,2,177,9,0,0,0
o10468,2,2,2,0,0,0
o10475,3,11,3,0,0,0
o10495,0,8,18,0,0,0
o10499,0,0,278,0,0,0
o1050,0,17,18,0,0,0
o1051,0,10,,0,0,
o10514,1,,15,0,,0
o10515,0,1,6,0,1,0
o10517,10,27,183,0,1,10
o10518,0,,26,0,,0
o1052,0,,,0,,
o10526,2,12,12,0,0,0
o10527,1,89,45,0,0,0
o10530,0,222,157,0,16,0
o10532,0,,277,0,,0
o10555,0,11,41,0,2,0
o10566,1,19,2,0,0,0
o10617,0,0,33,0,0,0
o10618,0,0,10,0,0,0
o10927,,,239,,,0
o1114,2,14,4,0,0,0
o11170,4,9,33,0,3,0
o11171,4,4,22,0,0,0
o11172,0,,27,0,,0
o11173,3,3,13,0,0,0
o11174,0,,35,0,,0
o11187,0,26,4,0,0,0
o11481,2,,10,0,,0
o11513,6,,6,0,,0
o11514,21,25,25,0,0,0
o11515,24,,32,0,,0
o11666,2,6,2,1,1,1
o11667,0,207,16,0,0,2
o11670,10,807,14,0,0,0
o11689,1,24,79,0,9,0
o11781,1,19,16,0,1,0
o11787,3,26,15,0,0,0
o11794,8,112,12,0,0,0
o11795,5,89,26,0,0,0
o11796,3,12,5,0,0,0
o11798,2,25,13,0,0,0
o11800,7,74,12,0,0,0
o11801,4,101,29,0,0,0
o11803,4,30,13,0,0,0
o1184,2,,136,0,,0
o11855,3,,3,1,,0
o11859,5,162,18,0,0,0
o1190,1,129,27,0,0,0
o1191,7,38,73,0,3,0
o11975,2,,41,0,,0
o12068,0,0,3,0,0,0
o12069,0,,55,0,,0
o12070,1,56,1,0,2,0
o12077,0,,,0,,
o12078,0,8,4,0,2,0
