schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o1,0,14,60,0,0,0,3,3,17,73
o10008,0,116,1,0,0,0,5,5,155,5
o10009,0,0,8,0,0,0,1,1,1,9
o10010,0,0,4,0,0,0,1,1,1,5
o10011,0,2,10,0,2,0,3,3,3,15
o10012,,0,2,,0,0,1,,1,3
o10013,2,51,16,0,2,0,5,5,81,27
o10014,0,45,5,0,0,0,3,3,57,9
o10016,0,16,2,0,0,0,1,1,23,3
o10018,1,1,1,0,1,0,3,3,3,3
o10020,2,2,1,1,1,0,3,1,3,3
o10021,0,0,2,0,0,0,1,1,1,3
o10026,3,14,4,1,1,1,5,5,17,1
o10030,0,17,9,0,0,0,3,3,19,11
o10055,0,8,1,0,0,0,3,3,19,5
o10059,0,0,3,0,0,0,3,3,3,9
o1006,0,264,34,0,0,0,11,11,341,51
o10065,2,,4,0,,0,5,5,,7
o10069,1,19,5,0,1,0,1,1,19,5
o10075,0,12,15,0,0,0,1,1,25,31
o10076,1,3,6,0,1,0,1,1,5,11
o10077,1,15,7,0,0,0,3,3,17,9
o10078,0,0,32,0,0,3,1,1,1,37
o10079,0,0,14,0,0,0,1,1,1,15
o1008,2,,2,0,,0,5,5,,5
o10082,0,62,2,0,0,0,1,1,63,3
o10086,0,0,0,0,0,0,1,1,1,1
o10088,0,0,16,0,0,0,1,1,1,19
o10089,0,0,16,0,0,0,1,1,1,17
o10091,0,144,10,0,0,0,1,1,187,11
o10092,2,44,2,1,1,0,3,1,65,3
o10093,,,5,,,0,3,,,7
o10094,4,,6,0,,0,15,15,,17
o102,0,,195,0,,0,3,3,,225
o10217,0,769,24,0,0,0,3,3,1001,31
o10293,0,,96,0,,4,5,5,,107
o10295,0,0,39,0,0,0,1,1,1,43
o10296,0,,574,0,,18,5,5,,615
o10297,14,,141,0,,0,45,45,,187
o10298,0,0,83,0,0,0,1,1,1,89
o10318,0,,24,0,,0,1,1,,29
o10335,0,6,2,0,0,0,1,1,7,3
o10337,1,31,1,0,0,0,3,3,35,3
o10340,9,,726,0,1,1,5,13,1,777
o10420,1,12,5696,0,0,52,5,5,15,6017
o10421,0,1,172,0,1,0,3,3,3,187
o10467,2,177,9,0,0,0,5,5,255,17
o10468,2,2,2,0,0,0,5,5,5,5
o10475,3,11,3,0,0,0,7,7,15,7
o10495,0,8,18,0,0,0,1,1,9,19
o10499,0,0,278,0,0,0,1,1,1,315
o1050,0,17,18,0,0,0,1,1,23,19
o1051,0,10,,0,0,,1,1,11,
o10514,1,,15,0,,0,3,3,,17
o10515,0,1,6,0,1,0,3,3,3,9
o10517,10,27,183,0,1,10,29,29,3,217
o10518,0,,26,0,,0,3,3,,29
o1052,0,,,0,,,5,5,,
o10526,2,12,12,0,0,0,7,7,17,17
o10527,1,89,45,0,0,0,7,7,103,55
o10530,0,222,157,0,16,0,5,5,289,179
o10532,0,,277,0,,0,11,11,,373
o10555,0,11,41,0,2,0,3,3,13,45
o10566,1,19,2,0,0,0,3,3,21,5
o10617,0,0,33,0,0,0,1,1,1,43
o10618,0,0,10,0,0,0,1,1,1,11
o10927,,,239,,,0,13,,,259
o1114,2,14,4,0,0,0,5,5,17,7
o11170,4,9,33,0,3,0,9,9,17,43
o11171,4,4,22,0,0,0,9,9,9,31
o11172,0,,27,0,,0,1,1,,35
o11173,3,3,13,0,0,0,7,7,7,17
o11174,0,,35,0,,0,1,1,,47
o11187,0,26,4,0,0,0,1,1,45,5
o11481,2,,10,0,,0,7,7,,15
o11513,6,,6,0,,0,15,15,,15
o11514,21,25,25,0,0,0,47,47,51,51
o11515,24,,32,0,,0,61,61,,67
o11666,2,6,2,1,1,1,3,3,7,3
o11667,0,207,16,0,0,2,3,3,275,19
o11670,10,807,14,0,0,0,3,11,1043,15
o11689,1,24,79,0,9,0,7,7,39,111
o11781,1,19,16,0,1,0,5,5,25,23
o11787,3,26,15,0,0,0,11,11,43,25
o11794,8,112,12,0,0,0,25,25,161,29
o11795,5,89,26,0,0,0,15,15,103,37
o11796,3,12,5,0,0,0,11,11,21,13
o11798,2,25,13,0,0,0,11,11,41,25
o11800,7,74,12,0,0,0,23,23,113,33
o11801,4,101,29,0,0,0,15,15,129,45
o11803,4,30,13,0,0,0,17,17,51,29
o1184,2,,136,0,,0,7,7,,153
o11855,3,,3,1,,0,7,7,,7
o11859,5,162,18,0,0,0,13,13,193,29
o1190,1,129,27,0,0,0,5,5,161,35
o1191,7,38,73,0,3,0,29,29,81,161
o11975,2,,41,0,,0,7,7,,55
o12068,0,0,3,0,0,0,1,1,1,5
o12069,0,,55,0,,0,1,1,,61
o12070,1,56,1,0,2,0,9,9,77,9
o12077,0,,,0,,,7,7,,
o12078,0,8,4,0,2,0,7,7,13,11
o12085,0,15,19,0,0,0,1,1,19,23
o12086,0,11,0,0,2,0,5,5,15,5
o12087,0,,14,0,,0,1,1,,17
o12088,1,5,1,0,2,0,9,9,11,9
o12092,6,17,9,0,0,0,17,17,27,19
o12174,2,2,2,1,1,1,3,3,1,3
o12175,0,12,19,0,0,1,3,3,15,23
o12176,2,6,10,0,0,0,5,5,9,13
o12178,10,8,6,0,0,0,3,11,9,7
o1218,0,,7,0,,0,1,1,,9
o12182,1,3,1,0,0,0,3,3,5,3
o12210,0,4,14,0,0,0,1,1,5,15
o12214,2,2,2,0,0,0,5,5,5,5
o12215,2,2,4,0,0,0,5,5,5,7
o12218,0,0,8,0,0,0,1,1,1,9
o12222,1,3,1,0,0,0,3,3,5,3
o12223,0,0,12,0,0,0,1,1,1,21
o12228,2,,22,0,,0,11,11,,39
o12229,3,19,33,0,0,0,11,11,35,45
o12235,0,2,9,0,0,0,3,3,5,13
o12236,5,184,40,0,0,0,17,17,233,63
o12244,0,0,21,0,0,0,1,1,1,25
o12254,4,8,6,0,0,0,9,9,13,11
o12256,0,19,6,0,0,0,1,1,23,7
o12278,0,0,40,0,0,0,1,1,1,41
o12279,0,21,16,0,0,0,3,3,27,19
o12281,0,38,2,0,0,0,1,1,61,3
o12283,2,434,35,0,0,0,7,7,587,43
o12289,0,6,236,0,0,0,1,1,7,247
o12296,0,304,2,0,0,0,1,1,421,3
o12299,2,,29,0,,0,7,7,,37
o12334,3,,,0,,,17,17,,
o12335,1,,,0,,,15,15,,
o12336,2,,,0,,,15,15,,
o12337,1,,,0,,,7,7,,
o12343,10,26,479,0,13,0,29,29,45,527
o12344,3,,1257,0,,0,11,11,,1329
o12345,0,0,10,0,0,0,1,1,1,11
o12346,9,9,52,0,0,0,19,19,19,63
o12368,0,112,,0,0,,1,1,181,
o12378,,16,,,0,,1,,17,
o12381,0,8,10,0,0,0,1,1,9,11
o12453,7,,175,0,,9,35,35,,245
o12454,,,85,,,6,69,,,149
