schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o1,0,14,60,[],[],[]
o10008,0,116,1,[],[],[]
o10009,0,0,8,[],[],[]
o10010,0,0,4,[],[],[]
o10011,0,2,10,[],"['required', 'additionalProperties']",[]
o10012,,0,2,[],[],[]
o10013,2,51,16,[],"['required', 'additionalProperties']",[]
o10014,0,45,5,[],[],[]
o10016,0,16,2,[],[],[]
o10018,1,1,1,[],['pattern'],[]
o10020,2,2,1,[],"['additionalProperties', 'type']",[]
o10021,0,0,2,[],[],[]
o10026,3,14,4,"['additionalProperties', 'required']","['type', 'additionalProperties', 'required']",['required']
o10030,0,17,9,[],[],[]
o10055,0,8,1,[],[],[]
o10059,0,0,3,[],[],[]
o1006,0,264,34,[],[],[]
o10065,2,,4,[],[],[]
o10069,1,19,5,[],"['type', 'additionalProperties']",[]
o10075,0,12,15,[],['items'],['items']
o10076,1,3,6,[],"['type', 'pattern']",[]
o10077,1,15,7,[],[],[]
o10078,0,0,32,[],[],"['not', 'type']"
o10079,0,0,14,[],[],[]
o1008,2,,2,[],[],[]
o10082,0,62,2,[],[],[]
o10086,0,0,0,[],[],[]
o10088,0,0,16,[],[],[]
o10089,0,0,16,[],[],[]
o10091,0,144,10,[],[],[]
o10092,2,44,2,[],['additionalProperties'],[]
o10093,,,5,[],[],[]
o10094,4,,6,[],[],[]
o102,0,,195,[],[],[]
o10217,0,769,24,[],[],[]
o10293,0,,96,[],[],[]
o10295,0,0,39,[],[],[]
o10296,0,,574,[],[],[]
o10297,14,,141,[],[],[]
o10298,0,0,83,[],[],[]
o10318,0,,24,[],[],[]
o10335,0,6,2,[],[],[]
o10337,1,31,1,[],[],[]
o10340,9,,726,[],[],[]
o10420,1,12,5696,[],[],[]
o10421,0,1,172,[],[],[]
o10467,2,177,9,[],[],[]
o10468,2,2,2,[],[],[]
o10475,3,11,3,[],[],[]
o10495,0,8,18,[],[],[]
o10499,0,0,278,[],[],[]
o1050,0,17,18,[],[],[]
o1051,0,10,,[],[],[]
o10514,1,,15,[],[],[]
o10515,0,1,6,[],[],[]
o10517,10,27,183,[],[],[]
o10518,0,,26,[],[],[]
o1052,0,,,[],[],[]
o10526,2,12,12,[],[],[]
o10527,1,89,45,[],[],[]
o10530,0,222,157,[],[],[]
o10532,0,,277,[],[],[]
o10555,0,11,41,[],[],[]
o10566,1,19,2,[],[],[]
o10617,0,0,33,[],[],[]
o10618,0,0,10,[],[],[]
o10927,,,239,[],[],[]
o1114,2,14,4,[],[],[]
o11170,4,9,33,[],[],[]
o11171,4,4,22,[],[],[]
o11172,0,,27,[],[],[]
o11173,3,3,13,[],[],[]
o11174,0,,35,[],[],[]
o11187,0,26,4,[],[],[]
o11481,2,,10,[],[],[]
o11513,6,,6,[],[],[]
o11514,21,25,25,[],[],[]
o11515,24,,32,[],[],[]
o11666,2,6,2,[],[],[]
o11667,0,207,16,[],[],[]
o11670,10,807,14,[],[],[]
o11689,1,24,79,[],[],[]
o11781,1,19,16,[],[],[]
o11787,3,26,15,[],[],[]
o11794,8,112,12,[],[],[]
o11795,5,89,26,[],[],[]
o11796,3,12,5,[],[],[]
o11798,2,25,13,[],[],[]
o11800,7,74,12,[],[],[]
o11801,4,101,29,[],[],[]
o11803,4,30,13,[],[],[]
o1184,2,,136,[],[],[]
o11855,3,,3,[],[],[]
o11859,5,162,18,[],[],[]
o1190,1,129,27,[],[],[]
o1191,7,38,73,[],[],[]
o11975,2,,41,[],[],[]
o12068,0,0,3,[],[],[]
o12069,0,,55,[],[],[]
o12070,1,56,1,[],['pattern'],[]
o12077,0,,,[],[],[]
o12078,0,8,4,[],['pattern'],[]
o12085,0,15,19,[],[],[]
o12086,0,11,0,[],['pattern'],[]
o12087,0,,14,[],[],[]
o12088,1,5,1,[],['pattern'],[]
o12092,6,17,9,[],[],[]
o12174,2,2,2,[],[],[]
o12175,0,12,19,[],[],[]
o12176,2,6,10,[],[],[]
o12178,10,8,6,[],[],[]
o1218,0,,7,[],[],[]
o12182,1,3,1,[],[],[]
o12210,0,4,14,[],[],[]
o12214,2,2,2,[],[],[]
o12215,2,2,4,[],[],[]
o12218,0,0,8,[],[],[]
o12222,1,3,1,[],[],[]
o12223,0,0,12,[],[],[]
o12228,2,,22,[],[],[]
o12229,3,19,33,[],[],[]
o12235,0,2,9,[],[],[]
o12236,5,184,40,[],[],[]
o12244,0,0,21,[],[],[]
o12254,4,8,6,[],[],[]
o12256,0,19,6,[],[],[]
o12278,0,0,40,[],[],[]
o12279,0,21,16,[],[],[]
o12281,0,38,2,[],[],[]
o12283,2,434,35,[],[],[]
o12289,0,6,236,[],[],[]
o12296,0,304,2,[],[],[]
o12299,2,,29,[],[],[]
o12334,3,,,[],[],[]
o12335,1,,,[],[],[]
o12336,2,,,[],[],[]
o12337,1,,,[],[],[]
